Timestamp,Epoch,Step,Loss,Accuracy
2026-05-22 23:29:36,1,1,1.908,0.188
2026-05-22 23:29:37,1,2,1.720,0.219
2026-05-22 23:29:37,1,3,1.515,0.469
2026-05-22 23:29:37,1,4,1.372,0.469
2026-05-22 23:29:37,1,5,1.644,0.312
2026-05-22 23:29:37,1,6,1.265,0.562
2026-05-22 23:29:37,1,7,1.474,0.531
2026-05-22 23:29:38,1,8,1.110,0.625
2026-05-22 23:29:38,1,9,1.146,0.562
2026-05-22 23:29:38,1,10,0.973,0.656
2026-05-22 23:29:38,1,11,1.034,0.625
2026-05-22 23:29:38,1,12,1.067,0.594
2026-05-22 23:29:39,1,13,1.177,0.562
2026-05-22 23:29:39,1,14,0.598,0.844
2026-05-22 23:29:39,1,15,0.857,0.781
2026-05-22 23:29:39,1,16,0.740,0.812
2026-05-22 23:29:39,1,17,0.754,0.750
2026-05-22 23:29:39,1,18,0.712,0.781
2026-05-22 23:29:40,1,19,0.634,0.656
2026-05-22 23:29:40,1,20,0.460,0.844
2026-05-22 23:29:40,1,21,0.389,0.844
2026-05-22 23:29:40,1,22,0.487,0.875
2026-05-22 23:29:40,1,23,0.464,0.875
2026-05-22 23:29:41,1,24,0.449,0.844
2026-05-22 23:29:41,1,25,0.560,0.781
2026-05-22 23:29:41,1,26,0.289,0.906
2026-05-22 23:29:41,1,27,0.507,0.812
2026-05-22 23:29:41,1,28,0.622,0.750
2026-05-22 23:29:41,1,29,0.518,0.781
2026-05-22 23:29:42,1,30,0.615,0.844
2026-05-22 23:29:42,1,31,0.632,0.719
2026-05-22 23:29:42,1,32,0.198,0.906
2026-05-22 23:29:42,1,33,0.729,0.812
2026-05-22 23:29:42,1,34,0.734,0.750
2026-05-22 23:29:43,1,35,0.549,0.812
2026-05-22 23:29:43,1,36,0.263,0.875
2026-05-22 23:29:43,1,37,0.241,0.906
2026-05-22 23:29:43,1,38,0.662,0.750
2026-05-22 23:29:43,1,39,0.381,0.875
2026-05-22 23:29:44,1,40,0.350,0.938
2026-05-22 23:29:44,1,41,0.488,0.781
2026-05-22 23:29:44,1,42,0.451,0.812
2026-05-22 23:29:44,1,43,0.241,0.906
2026-05-22 23:29:44,1,44,0.555,0.844
2026-05-22 23:29:44,1,45,0.541,0.812
2026-05-22 23:29:45,1,46,0.305,0.938
2026-05-22 23:29:45,1,47,0.242,0.938
2026-05-22 23:29:45,1,48,0.379,0.906
2026-05-22 23:29:45,1,49,0.182,0.938
2026-05-22 23:29:45,1,50,0.536,0.875
2026-05-22 23:29:46,1,51,0.427,0.906
2026-05-22 23:29:46,1,52,0.398,0.844
2026-05-22 23:29:46,1,53,0.244,0.906
2026-05-22 23:29:46,1,54,0.116,0.969
2026-05-22 23:29:46,1,55,0.430,0.844
2026-05-22 23:29:46,1,56,0.213,0.938
2026-05-22 23:29:47,1,57,0.407,0.844
2026-05-22 23:29:47,1,58,0.452,0.844
2026-05-22 23:29:47,1,59,0.214,0.969
2026-05-22 23:29:47,1,60,0.618,0.812
2026-05-22 23:29:47,1,61,0.425,0.875
2026-05-22 23:29:48,1,62,0.364,0.875
2026-05-22 23:29:48,1,63,0.283,0.938
2026-05-22 23:29:48,1,64,0.128,1.000
2026-05-22 23:30:05,2,65,0.138,1.000
2026-05-22 23:30:05,2,66,0.101,1.000
2026-05-22 23:30:05,2,67,0.135,0.938
2026-05-22 23:30:06,2,68,0.143,0.938
2026-05-22 23:30:06,2,69,0.280,0.938
2026-05-22 23:30:06,2,70,0.314,0.875
2026-05-22 23:30:06,2,71,0.076,0.969
2026-05-22 23:30:06,2,72,0.212,0.906
2026-05-22 23:30:06,2,73,0.135,0.938
2026-05-22 23:30:07,2,74,0.202,0.906
2026-05-22 23:30:07,2,75,0.103,1.000
2026-05-22 23:30:07,2,76,0.145,0.969
2026-05-22 23:30:07,2,77,0.169,0.938
2026-05-22 23:30:07,2,78,0.182,0.969
2026-05-22 23:30:08,2,79,0.226,0.906
2026-05-22 23:30:08,2,80,0.192,0.969
2026-05-22 23:30:08,2,81,0.353,0.906
2026-05-22 23:30:08,2,82,0.172,0.938
2026-05-22 23:30:08,2,83,0.239,0.969
2026-05-22 23:30:09,2,84,0.374,0.875
2026-05-22 23:30:09,2,85,0.280,0.844
2026-05-22 23:30:09,2,86,0.350,0.875
2026-05-22 23:30:09,2,87,0.208,0.938
2026-05-22 23:30:09,2,88,0.074,0.938
2026-05-22 23:30:09,2,89,0.080,1.000
2026-05-22 23:30:10,2,90,0.268,0.969
2026-05-22 23:30:10,2,91,0.220,0.906
2026-05-22 23:30:10,2,92,0.347,0.844
2026-05-22 23:30:10,2,93,0.119,1.000
2026-05-22 23:30:10,2,94,0.099,1.000
2026-05-22 23:30:11,2,95,0.424,0.844
2026-05-22 23:30:11,2,96,0.359,0.875
2026-05-22 23:30:11,2,97,0.181,0.906
2026-05-22 23:30:11,2,98,0.146,0.938
2026-05-22 23:30:11,2,99,0.235,0.875
2026-05-22 23:30:12,2,100,0.159,0.906
2026-05-22 23:30:12,2,101,0.164,0.938
2026-05-22 23:30:12,2,102,0.185,0.969
2026-05-22 23:30:12,2,103,0.252,0.906
2026-05-22 23:30:12,2,104,0.059,1.000
2026-05-22 23:30:13,2,105,0.220,0.969
2026-05-22 23:30:13,2,106,0.117,0.969
2026-05-22 23:30:13,2,107,0.124,0.969
2026-05-22 23:30:13,2,108,0.300,0.938
2026-05-22 23:30:13,2,109,0.081,1.000
2026-05-22 23:30:14,2,110,0.070,0.969
2026-05-22 23:30:14,2,111,0.339,0.906
2026-05-22 23:30:14,2,112,0.158,0.938
2026-05-22 23:30:14,2,113,0.945,0.781
2026-05-22 23:30:14,2,114,0.094,0.969
2026-05-22 23:30:14,2,115,0.092,0.969
2026-05-22 23:30:15,2,116,0.104,1.000
2026-05-22 23:30:15,2,117,0.154,0.969
2026-05-22 23:30:15,2,118,0.337,0.875
2026-05-22 23:30:15,2,119,0.455,0.812
2026-05-22 23:30:15,2,120,0.169,0.938
2026-05-22 23:30:16,2,121,0.133,1.000
2026-05-22 23:30:16,2,122,0.258,0.906
2026-05-22 23:30:16,2,123,0.234,0.906
2026-05-22 23:30:16,2,124,0.098,1.000
2026-05-22 23:30:16,2,125,0.208,0.906
2026-05-22 23:30:17,2,126,0.278,0.906
2026-05-22 23:30:17,2,127,0.118,1.000
2026-05-22 23:30:17,2,128,1.739,0.667
2026-05-22 23:54:02,1,1,1.751,0.312
2026-05-22 23:54:03,1,2,1.563,0.312
2026-05-22 23:54:03,1,3,1.658,0.344
2026-05-22 23:54:03,1,4,1.527,0.375
2026-05-22 23:54:03,1,5,1.257,0.594
2026-05-22 23:54:03,1,6,1.237,0.531
2026-05-22 23:54:03,1,7,1.293,0.625
2026-05-22 23:54:04,1,8,1.206,0.531
2026-05-22 23:54:04,1,9,1.130,0.562
2026-05-22 23:54:04,1,10,1.223,0.625
2026-05-22 23:54:04,1,11,0.773,0.781
2026-05-22 23:54:04,1,12,0.916,0.719
2026-05-22 23:54:05,1,13,0.915,0.688
2026-05-22 23:54:05,1,14,0.930,0.781
2026-05-22 23:54:05,1,15,0.691,0.719
2026-05-22 23:54:05,1,16,0.801,0.688
2026-05-22 23:54:05,1,17,0.697,0.719
2026-05-22 23:54:05,1,18,1.017,0.625
2026-05-22 23:54:06,1,19,0.513,0.844
2026-05-22 23:54:06,1,20,0.824,0.688
2026-05-22 23:54:06,1,21,0.527,0.812
2026-05-22 23:54:06,1,22,0.904,0.719
2026-05-22 23:54:06,1,23,0.827,0.688
2026-05-22 23:54:06,1,24,0.834,0.750
2026-05-22 23:54:07,1,25,0.692,0.781
2026-05-22 23:54:07,1,26,0.383,0.938
2026-05-22 23:54:07,1,27,0.562,0.781
2026-05-22 23:54:07,1,28,0.490,0.844
2026-05-22 23:54:07,1,29,0.854,0.688
2026-05-22 23:54:08,1,30,0.597,0.812
2026-05-22 23:54:08,1,31,0.663,0.781
2026-05-22 23:54:08,1,32,0.505,0.812
2026-05-22 23:54:08,1,33,0.302,0.906
2026-05-22 23:54:08,1,34,0.474,0.906
2026-05-22 23:54:08,1,35,0.348,0.906
2026-05-22 23:54:09,1,36,0.235,0.938
2026-05-22 23:54:09,1,37,0.232,0.938
2026-05-22 23:54:09,1,38,0.254,0.906
2026-05-22 23:54:09,1,39,0.380,0.781
2026-05-22 23:54:09,1,40,0.712,0.812
2026-05-22 23:54:10,1,41,0.559,0.781
2026-05-22 23:54:10,1,42,0.363,0.781
2026-05-22 23:54:10,1,43,0.227,0.906
2026-05-22 23:54:10,1,44,0.280,0.906
2026-05-22 23:54:10,1,45,0.363,0.844
2026-05-22 23:54:10,1,46,0.350,0.906
2026-05-22 23:54:11,1,47,0.924,0.750
2026-05-22 23:54:11,1,48,0.275,0.906
2026-05-22 23:54:11,1,49,0.253,0.906
2026-05-22 23:54:11,1,50,0.476,0.906
2026-05-22 23:54:11,1,51,0.415,0.844
2026-05-22 23:54:11,1,52,0.501,0.844
2026-05-22 23:54:12,1,53,0.445,0.781
2026-05-22 23:54:12,1,54,0.378,0.906
2026-05-22 23:54:12,1,55,0.209,0.906
2026-05-22 23:54:12,1,56,0.166,0.969
2026-05-22 23:54:12,1,57,0.167,1.000
2026-05-22 23:54:13,1,58,0.176,0.969
2026-05-22 23:54:13,1,59,0.211,0.938
2026-05-22 23:54:13,1,60,0.424,0.906
2026-05-22 23:54:13,1,61,0.309,0.906
2026-05-22 23:54:13,1,62,0.331,0.906
2026-05-22 23:54:13,1,63,0.161,0.938
2026-05-22 23:54:13,1,64,0.022,1.000
2026-05-22 23:54:30,2,65,0.254,0.906
2026-05-22 23:54:30,2,66,0.345,0.906
2026-05-22 23:54:31,2,67,0.343,0.875
2026-05-22 23:54:31,2,68,0.089,0.969
2026-05-22 23:54:31,2,69,0.276,0.938
2026-05-22 23:54:31,2,70,0.288,0.906
2026-05-22 23:54:31,2,71,0.135,0.938
2026-05-22 23:54:31,2,72,0.219,0.938
2026-05-22 23:54:32,2,73,0.289,0.875
2026-05-22 23:54:32,2,74,0.254,0.906
2026-05-22 23:54:32,2,75,0.121,0.969
2026-05-22 23:54:32,2,76,0.206,0.938
2026-05-22 23:54:32,2,77,0.332,0.906
2026-05-22 23:54:32,2,78,0.260,0.938
2026-05-22 23:54:33,2,79,0.247,0.906
2026-05-22 23:54:33,2,80,0.076,0.969
2026-05-22 23:54:33,2,81,0.260,0.875
2026-05-22 23:54:33,2,82,0.230,0.938
2026-05-22 23:54:33,2,83,0.275,0.906
2026-05-22 23:54:34,2,84,0.122,0.969
2026-05-22 23:54:34,2,85,0.228,0.938
2026-05-22 23:54:34,2,86,0.214,0.969
2026-05-22 23:54:34,2,87,0.433,0.844
2026-05-22 23:54:34,2,88,0.243,0.938
2026-05-22 23:54:34,2,89,0.052,1.000
2026-05-22 23:54:35,2,90,0.190,0.969
2026-05-22 23:54:35,2,91,0.152,0.969
2026-05-22 23:54:35,2,92,0.145,0.938
2026-05-22 23:54:35,2,93,0.354,0.906
2026-05-22 23:54:35,2,94,0.223,0.875
2026-05-22 23:54:36,2,95,0.074,0.969
2026-05-22 23:54:36,2,96,0.173,0.969
2026-05-22 23:54:36,2,97,0.152,0.938
2026-05-22 23:54:36,2,98,0.138,0.906
2026-05-22 23:54:36,2,99,0.252,0.906
2026-05-22 23:54:37,2,100,0.152,0.969
2026-05-22 23:54:37,2,101,0.513,0.906
2026-05-22 23:54:37,2,102,0.191,0.938
2026-05-22 23:54:37,2,103,0.145,0.938
2026-05-22 23:54:37,2,104,0.329,0.906
2026-05-22 23:54:37,2,105,0.401,0.812
2026-05-22 23:54:38,2,106,0.286,0.875
2026-05-22 23:54:38,2,107,0.105,0.969
2026-05-22 23:54:38,2,108,0.467,0.844
2026-05-22 23:54:38,2,109,0.237,0.906
2026-05-22 23:54:38,2,110,0.226,0.906
2026-05-22 23:54:39,2,111,0.152,0.969
2026-05-22 23:54:39,2,112,0.115,0.969
2026-05-22 23:54:39,2,113,0.117,0.969
2026-05-22 23:54:39,2,114,0.057,1.000
2026-05-22 23:54:39,2,115,0.245,0.938
2026-05-22 23:54:39,2,116,0.252,0.875
2026-05-22 23:54:40,2,117,0.276,0.875
2026-05-22 23:54:40,2,118,0.158,0.938
2026-05-22 23:54:40,2,119,0.181,0.969
2026-05-22 23:54:40,2,120,0.273,0.875
2026-05-22 23:54:40,2,121,0.094,0.969
2026-05-22 23:54:41,2,122,0.096,1.000
2026-05-22 23:54:41,2,123,0.301,0.875
2026-05-22 23:54:41,2,124,0.169,0.969
2026-05-22 23:54:41,2,125,0.158,0.938
2026-05-22 23:54:41,2,126,0.237,0.906
2026-05-22 23:54:42,2,127,0.366,0.875
2026-05-22 23:54:42,2,128,0.061,1.000
2026-05-23 00:14:25,1,1,1.735,0.219
2026-05-23 00:14:25,1,2,1.704,0.406
2026-05-23 00:14:25,1,3,1.515,0.531
2026-05-23 00:14:25,1,4,1.507,0.344
2026-05-23 00:14:26,1,5,1.487,0.438
2026-05-23 00:14:26,1,6,1.499,0.469
2026-05-23 00:14:26,1,7,1.102,0.750
2026-05-23 00:14:26,1,8,1.173,0.719
2026-05-23 00:14:26,1,9,0.822,0.875
2026-05-23 00:14:27,1,10,1.057,0.656
2026-05-23 00:14:27,1,11,0.896,0.688
2026-05-23 00:14:27,1,12,0.805,0.750
2026-05-23 00:14:27,1,13,0.739,0.625
2026-05-23 00:14:27,1,14,0.762,0.719
2026-05-23 00:14:27,1,15,0.716,0.750
2026-05-23 00:14:28,1,16,0.777,0.688
2026-05-23 00:14:28,1,17,0.712,0.719
2026-05-23 00:14:28,1,18,0.536,0.844
2026-05-23 00:14:28,1,19,0.868,0.625
2026-05-23 00:14:28,1,20,0.815,0.688
2026-05-23 00:14:28,1,21,0.497,0.875
2026-05-23 00:14:29,1,22,0.647,0.750
2026-05-23 00:14:29,1,23,0.594,0.812
2026-05-23 00:14:29,1,24,0.517,0.844
2026-05-23 00:14:29,1,25,0.426,0.844
2026-05-23 00:14:29,1,26,0.557,0.812
2026-05-23 00:14:29,1,27,0.555,0.781
2026-05-23 00:14:30,1,28,0.543,0.844
2026-05-23 00:14:30,1,29,0.479,0.906
2026-05-23 00:14:30,1,30,0.508,0.719
2026-05-23 00:14:30,1,31,0.502,0.875
2026-05-23 00:14:30,1,32,0.311,0.875
2026-05-23 00:14:31,1,33,0.546,0.750
2026-05-23 00:14:31,1,34,0.392,0.812
2026-05-23 00:14:31,1,35,0.606,0.781
2026-05-23 00:14:31,1,36,0.589,0.812
2026-05-23 00:14:31,1,37,0.351,0.906
2026-05-23 00:14:31,1,38,0.232,0.906
2026-05-23 00:14:32,1,39,0.214,0.938
2026-05-23 00:14:32,1,40,0.517,0.812
2026-05-23 00:14:32,1,41,0.466,0.906
2026-05-23 00:14:32,1,42,0.329,0.938
2026-05-23 00:14:32,1,43,0.755,0.875
2026-05-23 00:14:33,1,44,0.489,0.750
2026-05-23 00:14:33,1,45,0.321,0.812
2026-05-23 00:14:33,1,46,0.303,0.875
2026-05-23 00:14:33,1,47,0.379,0.875
2026-05-23 00:14:33,1,48,0.316,0.906
2026-05-23 00:14:33,1,49,0.505,0.875
2026-05-23 00:14:34,1,50,0.277,0.906
2026-05-23 00:14:34,1,51,0.338,0.906
2026-05-23 00:14:34,1,52,0.303,0.906
2026-05-23 00:14:34,1,53,0.564,0.844
2026-05-23 00:14:34,1,54,0.352,0.906
2026-05-23 00:14:35,1,55,0.421,0.812
2026-05-23 00:14:35,1,56,0.155,1.000
2026-05-23 00:14:35,1,57,0.635,0.750
2026-05-23 00:14:35,1,58,0.244,0.906
2026-05-23 00:14:35,1,59,0.480,0.781
2026-05-23 00:14:35,1,60,0.331,0.875
2026-05-23 00:14:36,1,61,0.322,0.875
2026-05-23 00:14:36,1,62,0.217,0.938
2026-05-23 00:14:36,1,63,0.380,0.875
2026-05-23 00:14:36,1,64,0.690,0.667
2026-05-23 01:23:14,1,1,1.875,0.094
2026-05-23 01:23:14,1,2,1.798,0.188
2026-05-23 01:23:15,1,3,1.667,0.344
2026-05-23 01:23:15,1,4,1.594,0.375
2026-05-23 01:23:15,1,5,1.425,0.625
2026-05-23 01:23:15,1,6,1.336,0.594
2026-05-23 01:23:15,1,7,1.309,0.531
2026-05-23 01:23:16,1,8,1.125,0.656
2026-05-23 01:23:16,1,9,1.034,0.594
2026-05-23 01:23:16,1,10,0.984,0.656
2026-05-23 01:23:16,1,11,1.122,0.594
2026-05-23 01:23:16,1,12,1.040,0.719
2026-05-23 01:23:17,1,13,0.920,0.688
2026-05-23 01:23:17,1,14,0.677,0.844
2026-05-23 01:23:17,1,15,0.792,0.781
2026-05-23 01:23:17,1,16,0.495,0.812
2026-05-23 01:23:17,1,17,0.813,0.656
2026-05-23 01:23:18,1,18,0.726,0.844
2026-05-23 01:23:18,1,19,0.895,0.656
2026-05-23 01:23:18,1,20,0.741,0.719
2026-05-23 01:23:18,1,21,0.597,0.844
2026-05-23 01:23:19,1,22,0.492,0.812
2026-05-23 01:23:19,1,23,0.549,0.875
2026-05-23 01:23:19,1,24,0.838,0.656
2026-05-23 01:23:19,1,25,0.673,0.688
2026-05-23 01:23:19,1,26,0.607,0.844
2026-05-23 01:23:20,1,27,0.470,0.812
2026-05-23 01:23:20,1,28,0.469,0.812
2026-05-23 01:23:20,1,29,0.776,0.688
2026-05-23 01:23:20,1,30,0.563,0.719
2026-05-23 01:23:20,1,31,0.726,0.719
2026-05-23 01:23:21,1,32,0.878,0.750
2026-05-23 01:23:21,1,33,0.480,0.875
2026-05-23 01:23:21,1,34,0.669,0.750
2026-05-23 01:23:21,1,35,0.483,0.781
2026-05-23 01:23:21,1,36,0.536,0.781
2026-05-23 01:23:22,1,37,0.739,0.719
2026-05-23 01:23:22,1,38,0.371,0.875
2026-05-23 01:23:22,1,39,0.683,0.812
2026-05-23 01:23:22,1,40,0.450,0.844
2026-05-23 01:23:22,1,41,0.474,0.781
2026-05-23 01:23:23,1,42,0.368,0.906
2026-05-23 01:23:23,1,43,0.266,0.906
2026-05-23 01:23:23,1,44,0.589,0.781
2026-05-23 01:23:23,1,45,0.452,0.875
2026-05-23 01:23:23,1,46,0.680,0.750
2026-05-23 01:23:24,1,47,0.455,0.844
2026-05-23 01:23:24,1,48,0.233,0.969
2026-05-23 01:23:24,1,49,0.393,0.875
2026-05-23 01:23:24,1,50,0.443,0.844
2026-05-23 01:23:25,1,51,0.314,0.906
2026-05-23 01:23:25,1,52,0.347,0.875
2026-05-23 01:23:25,1,53,0.221,0.938
2026-05-23 01:23:25,1,54,0.463,0.781
2026-05-23 01:23:25,1,55,0.516,0.844
